,0
Depth,0.07006520357825505
SSS,0.05789370193789205
Nearest_Eddy_Distance_km,0.05418948243415309
SST,0.053612712414650335
DOY_cos,0.03988904079176627
Month_cos,0.03422492171114911
Distance_to_Coast_km,0.030957557189618283
Nearest_Front_Magnitude,0.030553105017843925
SSH,0.024756875840040105
SST_X_CHL,0.021117983067703967
log_chl,0.019846171988911993
DOY_sin,0.01960608424141443
WIND_SPEED,0.01958253794267802
curr_Speed,0.017470445157215714
Month_sin,0.01690483074450999
Ekman_Y,0.01614753750162185
Inside_Eddy,0.014317644112045374
Ekman_X,0.013101029921537128
